x,y,periodo,fuente
-84.0411929,9.932062,2024_2,Vivienda
-83.9532571,10.0480579,2024_2,Vivienda
-83.9165245,9.8579111,2024_2,Vivienda
-83.87248249999999,9.8921962,2024_2,Vivienda
-83.9863306,9.8358914,2024_2,Vivienda
-83.9863306,9.8358914,2024_2,Vivienda
-84.0933652,9.8641706,2024_2,Vivienda
-83.9254615,9.8625864,2024_2,Vivienda
-84.0487679,9.9320323,2024_2,Vivienda
-83.9188416,9.8610783,2024_2,Vivienda
-83.8664076,9.839214,2024_2,Vivienda
-84.1237232,9.9244758,2024_2,Vivienda
-83.958153,10.006598,2024_2,Vivienda
-84.0107314,9.9096009,2024_2,Vivienda
-84.084783,9.910584,2024_2,Vivienda
-84.00665459999999,9.9612939,2024_2,Vivienda
-84.377708,10.377975,2024_2,Vivienda
-85.79164999999999,10.3511881,2024_2,Vivienda
-84.03987149999999,9.9195242,2024_2,Vivienda
-83.9158624,9.8363706,2024_2,Vivienda
-83.7890769,10.2136729,2024_2,Vivienda
-83.6780574,9.8990267,2024_2,Vivienda
-83.67739279999999,9.7539596,2024_2,Vivienda
-83.28939650000001,9.0688873,2024_2,Vivienda
-84.958836,10.281134,2024_2,Vivienda
-83.6800512,9.9067054,2024_2,Vivienda
-83.9453168,9.8448839,2024_2,Vivienda
-83.9188416,9.8610783,2024_2,Vivienda
-84.1318386,10.007124,2024_2,Vivienda
-83.733925,10.350907,2024_2,Vivienda
-84.238044,10.0057345,2024_2,Vivienda
-84.60375479999999,9.8445435,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-84.055129,10.0182399,2024_2,Vivienda
-83.3308421,9.1672952,2024_2,Vivienda
-83.920306,9.871034,2024_2,Vivienda
-84.08232269999999,9.9660928,2024_2,Vivienda
-83.9234756,9.8715811,2024_2,Vivienda
-84.03047579999999,9.9801511,2024_2,Vivienda
-83.86672659999999,9.8351817,2024_2,Vivienda
-84.0656336,9.965180900000002,2024_2,Vivienda
-84.0127765,9.903056,2024_2,Vivienda
-84.2055424,10.0058239,2024_2,Vivienda
-84.0746661,9.7784909,2024_2,Vivienda
-83.9966154,9.9359121,2024_2,Vivienda
-83.6740748,9.3475903,2024_2,Vivienda
-84.1336192,9.9420336,2024_2,Vivienda
